Column 1,längengrad,breitengrad
Place Name unique manually,,
Ethiopian Empire,37.46666666666667,12.6
Adihalli,76.33888889,13.29444444
Admiralitäts-Bay,,
Adventure-Bay,,
Adventure-Eyland,,
Aetepieha,,
Africa,7.1881,21.09375
Aetepieha,,
Alps,8.615,46.57805555555556
Americas,-96,19
Amsterdam,4.883333333333333,52.36666666666667
Nomuka,-174.8,-20.25
,-174.80083333333,-20.245555555556
Anker Island,158.50722222222,-7.6869444444444
A-Poto Poto,,
Arabia,,
Ascension Island,-14.35,-7.95
Asia,87.33111111111111,43.681111111111115
Atlantic Ocean,-30,0
Attahuru,,
Auhäiau,,
Barbarey,,
Bashees Inseln,,
Batavia,,
Bay of Plenty,176.8,-37.26666667
Berings-Eyland,,
Berlin,13.383333333333,52.516666666667
India,83,22.8
Bonavista,-53.120833333333,48.659722222222
Bora Bora,-151.736,-16.498
Boscawen und Keppels-Eylande,,
Boseawen,,
Bourbon,,
Brazil,-53,-14
Brest,-4.4869444444444,48.39
Brittany,-3,48
Bristol,-2.5975,51.45361111111111
Great Britain,-2.4166666666667,53.833333333333
Cádiz,-6.2975,36.535
Calao,21.333333333333,4.4
Calhetta,,
California,-120,37
Calao,,
Câmara de Lobos,-16.966666666667,32.65
Gran Canaria,-15.5925,27.958611111111
Candia,,
Cannibal Cove,174.25019,-41.06826
Cap,,
Cap Blake,,
Cap de la Circoncision,,
Cape of Good Hope,18.471944444444,-34.358055555556
Cap Farewell,,
Cape Finisterre,-9.2722222222222,42.8825
Cap Foul-Wind,,
Cape Horn,-67.289166666667,-55.98
Cape Kidnappers / Te Kauwae-a-Māui,177.09555555556,-39.643111111111
Cap Koamaru,,
Cape Palliser / Mātakitaki-a-Kupe,175.29027777778,-41.613611111111
Cap Stephens,,
Cap Tera-Witti,,
West Cape,136.82222222,-35.24472222
Caps,,
Cap-Verdischen Inseln,,
Carlsberg,8.0416666666667,49.503888888889
Cascade Cove,166.594,-45.802
Cascade Bay,123.33333,-16.53333
Castile,-3.81666667,42.35
Chain Island,-80.31641,45.36681
Charlotten-Sund,,
People's Republic of China,103.45194444444445,35.844722222222224
China Seas,,
Cocos und Verräther-Insel,,
Cocos-Hofnungs und Horn-Eyland,,
Cocos-Verräther und Horne-Inseln,,
Coimbra,-8.428888888888888,40.21111111111111
Constantia,18.418333333333,-34.031388888889
Cook Strait,174.48305555556,-41.229444444444
Cornwall,-4.9,50.3
A Coruña Province,-8.4,43.37
Gdańsk,18.6540233,54.3482907
Derbyshire,-1.6099999999999999,53.18
Desertas Islands,-16.525277777778,32.546111111111
Germany,10,51
Diebs-Inseln,,
Doubtful Eyland,,
Doubtfull-Bay,,
Doubtles-Bay,,
Drake's Island,-4.1536111111111,50.355555555556
Duck Cove,-68.743611111111,44.583333333333
Dusky-Bay,,
EaheinoMauwe,,
East-Bay,,
Easter Island,-109.35,-27.12
Ea-Uwhe,,
Eddistone,,
Egmont,,
Eimeo,149.17333333,-21.05166667
Encarnación,-55.866666666667,-27.333333333333
Endeavour Strait,142.28888889,-10.78416667
Duck Bay,143.84,-39.73
England,-1,53
Europe,9.14062,48.690959
Eyland,,
Falkland Islands,-59.22,-51.73
False Bay,-60.3667,-62.7167
False Bay,-60.3667,-62.7167
Faroe Islands,-6.8444805555556,61.969944444444
Faial Island,-28.702777777778,38.576944444444
Ferrol,-8.12278,43.5233
Feuer-Bay,,
Cape Finisterre,-9.2722222222222,42.8825
Five-Finger-Land,,
France,2,47
Friendly Island,151.11777777778,-33.515277777778
Friedrich Henrichs-Bay,,
Friendly Island,151.11777777778,-33.515277777778
Funchal,-16.916666666667,32.65
fire,,
Furneaux-Eyland,,
Georg des dritten Insel,,
Happy Island,-83.936666666667,44.346944444444
Gothenburg,11.9675,57.7075
Göttingen,9.9355555555556,51.533888888889
Gras-Cove,,
Greenwich,0,51.48
Greenland,-40,72
gros Ventre-Bay,,
Southern Ocean,90,-65
Tahiti,-149.46666666667,-17.666666666667
grünen Vorgebürges,,
Guinea,-11,10
Hamaneno,,
Hawkes Bay,-57.21491,50.61677
Hawkins's Maiden-Land,,
Herurua,,
Hervey-Eyland,,
Hetta,23.6189254,68.3857401
Hiddia,,
Jerusalem,35.22555555555556,31.77888888888889
Hippah-Felsen,,
Netherlands,5.55,52.316666666667
Holz-Bay,,
Horn-Eyland,,
Hottentots-Holland,18.9851,-34.0349
Hout Bay,18.35,-34.033333333333
Huaheine,,
Hudsons Bay,-79.86215,45.6234
Ilha dos Codornizes,,
Desertas Islands,-16.525277777778,32.546111111111
Indian Cove,-72.679722222222,41.256666666667
Indian Island,-81.71888888888888,43.74805555555555
indianischen Ocean,,
India,83,22.8
Indian Cove,-72.679722222222,41.256666666667
Indien und Shag-Cove,,
Bay Island,-64.726111111111,32.350277777778
Inseln des Glücks,,
Irrland,6.20472222,51.55555556
Isle de France,57.5,-20.2
Saint Pierre Island,-56.2,46.783333333333
Isle ronde,,
Fortunate Isles,,
Japan,136,35
Juan Fernández,-78.866666666667,-33.616666666667
Kamchatka Peninsula,160,57
Kingdom of the Canary Islands,,
Kenwyn,-5.06667,50.2667
Keppels-Eyland,,
Kerguelens Inseln,,
Ketten-Insel,,
Kew,145.03583333333,-37.805277777778
Tahiti,-149.46666666667,-17.666666666667
Encarnación,-55.866666666667,-27.333333333333
Ladrones,,
Ladronischen Inseln,,
Lanzarote,-13.635,29.035
l'Archipel des navigateurs,,
le Boudoir,,
Levant,36,34
Leiden,4.49,52.16
Lima,-77.0375,-12.06
Lisbon,-9.139016,38.708042
London,-0.1275,51.507222222222
Long Island,-73.253616,40.805805
Löwenberg,,
Löwenkopf,,
Luncheon Cove,166.522,-45.765
Mehetia,-148.06666666667,-17.866666666667
Madagascar,47,-20
Madeira,-17,32.75
Madrid,-3.703333333333333,40.41694444444445
Magellanische Meer-Enge,,
Mehetia,-148.06666666667,-17.866666666667
Manila,120.97722222222222,14.595833333333333
Marien Bay,150.06111111111,-2.5352777777778
Marquesas Islands,-139.5,-9
Marseille,5.3763888888889,43.296666666667
Marvayles of Inde,,
Maschiko,,
Asau,-172.63722222,-13.51938889
Asau,-172.63722222,-13.51938889
Matavai Bay,-149.5,-17.5
Matavai Stream,-170.80972,-14.30361
Matogrosso,,
Mauritania,-11,21
Mauritius,57.5,-20.2
Maurua,,
Mayo,,
Mexico,-102,23
Middelburgh,,
Mediterranean Sea,17,38
mittelländischen und persischen See,,
Molukkischen Inseln,,
Mopiha,,
Motu-Aro,,
Mehetia,-148.06666666667,-17.866666666667
New Zealand,174,-41.2
New Zealand,174,-41.2
Neu-1773. October. Seeland,,
Neu-Albion,,
New Britain,150.6,-5.75
New Caledonia,165.3,-21.25
Neuen-Hebriden,,
New Guinea,140,-5
Dutch Brazil,-34.874269,-8.063713
Neu-Irrland,,
New Zealand,174,-41.2
New York City,-74.00611111111111,40.71277777777778
Niewlandt,,
North America,-105,47
Normandy,-0.43664430555555556,49.12233911111111
Norway,11,65
Aetepieha,,
O-Hamane,,
O-Pahutu,,
O-Parre,,
Opoa,,
Raietea,,
Oranien,,
Orimatarra,,
Ortigueira,-6.741694444444445,43.55986111111111
Oruwherra,,
OsnabruckEyland,,
East-Bay,,
Easter Island,-109.35,-27.12
East India,86,23.25
ostindischen Inseln,,
Ost und West-Indien,,
Taha Oualidat,,
Tahiti,-149.46666666667,-17.666666666667
o-Whai-urua,,
O-Wharre,,
pacifischen Oceans,,
Palliser,,
Palma,2.6497222222222,39.566666666667
Panama,-80.366667,8.616667
Ixodida,,
Paraguay,-58,-23.5
Paris,2.352222222222222,48.85666666666667
Parnassus,,
Parre,9.890855555555556,45.874586111111114
Persian Empire,53,33
Peru,-76,-9.4
Philippinischen Inseln,,
Pic de la Boudeuse,,
Pickersgill,,
Pickersgill-Haven,,
Pitcairn Island,-130.104444,-25.070556
Plymouth,-4.1422222222222,50.371388888889
Plymouth-Haven,,
Point five finger,,
Jackson Point,-97.9867,59.91714
Point Venus,-149.49444444,-17.49555556
,-149.496,-17.4945
Point Hicks,148.88333333,-38
Point Venus,-149.49444444,-17.49555556
,-149.496,-17.4945
Point Venus,-149.49444444,-17.49555556
,-149.496,-17.4945
Poldyre,,
Puducherry,79.83,11.93
Ponta do Sol,-17.104166666667,32.681111111111
Port Egmont,-60.064166666666665,-51.353611111111114
Port Surville,,
Port Egmont,-60.064166666666665,-51.353611111111114
Portland-Eyland,,
Porto-Praya,,
Porto Santo,-16.356388888889,33.061944444444
Portsmouth,,
Portugal,-9.1833333333333,38.7
Kingdom of Prussia,14,53
Promontorium trileucum,,
Pylstaerts-Eyland,,
Quirós,-5.97245041541,43.1522612
Raietea,,
Resolution-Eyland,,
Rheins,,
Ribeira braba,,
Ribeira Grande de Santiago,-23.605,14.915
Robben-Eyland,,
Rocks Point,172.134,-40.851
Rome,12.482777777778,41.893055555556
Rondebosch,18.476388888889,-33.963333333333
Rorotoa,,
Røst,12.098888888889,67.52
rothen See,,
Rotterdam,4.48,51.92
Russia,94.25,66.41666666666667
Rüsten,,
S. Carls Insel,,
S. Jago,,
S. Lorenzo,,
Sagittaria,,
Saldanha Bay,18.009722222222,-33.034722222222
Solomon Islands,159,-8
,159,-8
Savage Islands,-15.864389,30.1463
San Jago,172.7118,-42.4525
San Vicente de Tagua Tagua,-71.07751,-34.43859
Santa Cruz,120.45527777777778,17.085277777777776
Schip-Cove,,
Shiraz,52.5425,29.61
Schoutens und Van der Linds Eylande,,
schwarzen Eap Cap,,
Sweden,15,61
Seehund-Inseln,,
Seeland,,
SeillyEyland,,
Senegal,-14.283333,14.366667
Seville,-5.995555555555556,37.38861111111111
Sheerness,0.76083333333333,51.441111111111
Schip-Cove,,
Society Islands,-149.83333333333334,-17.5
South Pacific Ocean,,
South Atlantic Ocean,-18.83777,-33.73345
Spain,-3.5,40.2
Spithead,-1.13667,50.7514
Spitsbergen,16,78.75
St. Clara,,
St. Jago,,
Stellenbosch,18.861388888889,-33.936666666667
Stellenbosch,18.861388888889,-33.936666666667
Calm lake,,
stillen Ocean,,
Stockholm,,
Strait of Malacca,101.16666669444444,2.5
South America,,
Südals Nordpol,,
South America,,
South Georgia,-36.65,-54.316666666667
Southern Ocean,90,-65
südliche Ocean,,
Süd-Meer,,
South Pole,0,-90
South Seas,165.85,-20.84
Südsee-Inseln,,
Table Cape,145.73305555556,-40.946111111111
Tabuaä,,
Tafel-Bay,,
Tafelberge,,
Taha,,
Tahiti,-149.46666666667,-17.666666666667
Tamai-poe-namu,,
Tautihpa,,
Tedhuroa,,
Teiarrabu,,
Tenerife,-16.605555555556,28.268611111111
Terra Australis,,
Tierra del Fuego,-70,-54
Thames,175.5405,-37.1384
the Groyn,,
River Thames,0.61,51.5
,-2.0297222222222224,51.69444444444444
Thira-Whittie,,
Thuringia,11,51
Tiegerberge,,
Tierra del Espiritu Santo,,
Timor,125.08333333333333,-9.083333333333334
Tittahah,,
Tonga-Tabu,,
Uborruh,,
Raiatea,-151.44,-16.82
Upsall,-1.3058194444444,54.27665
U'uru,,
Vál,18.675319444444,47.363688888889
Van Diemen's Land,147,-42
Van Diemens Rhede,,
Venice,12.331944444444,45.439722222222
Venus,,
Vera-Cruz,,
Vesuvs,,
Vorgebirge der guten Hoffnung,,
Vorgebürge de la Circoncision,,
Vorgebürge Ortegal,,
Wachtel-Insel,,
Waihue,173.841,-35.831
Wauwan,,
West-Bay,,
West Indies,-79.03333333,21.98333333
westindischen Inseln,,
West Lake,-77.28666666666666,43.94
Wet Jacket Arm,166.809,-45.652
Whai-Urua,,
Whennua,,
Whennua-aurah,,
Isle of Wight,-1.2666666666667,50.666666666667
Woriea,,
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
Warioi,135.7710349909631,-1.647875369901064
