Place Name;Place Name normalised;Place Name unique; Place Name unique sorted;Place Name unique manually
London;London;London;Abyssinien;Abyssinien
Madrid;Madrid;Madrid;Adiha;Adiha
GoÍ¤ttingen;Göttingen;Göttingen;Admiralitäts-Bay;Admiralitäts-Bay
UpÅ¿al;Upsal;Upsal;Adventure-Bay;Adventure-Bay
Danzig;Danzig;Danzig;Adventure-Eyland;Adventure-Eyland
Berlin;Berlin;Berlin;Aetepieha;Aetepieha
Paris;Paris;Paris;Africa;Afrika
London;London;Preussen;Afrika;Aitepiha
Madrid;Madrid;Deutschland;Afrique;Alpen
Berlin;Berlin;Alpen;Aitepieha;Amerika
GoÍ¤ttingen;Göttingen;Rheins;Aitepiha;Amsterdam
Berlin;Berlin;Amerika;Alpen;Anamocka
PreuÅ¿Å¿en;Preussen;England;Alphen;Anker-Insel
DeutÅ¿chland;Deutschland;Juan Fernandez;America;A-Poto Poto
Alpen;Alpen;Madera;Amerika;Arabien
Rheins;Rheins;Parnassus;Amsterdam;Ascension
DeutÅ¿chland;Deutschland;Plymouth;Anamocka;Asien
DeutÅ¿chland;Deutschland;Tahiti;Anker-Insel;atlantischen Ocean
London;London;freundschaftlichen Inseln;A-Poto Poto;Attahuru
Amerika;Amerika;Neuen-Hebriden;Arabiä¦;Auhäiau
Berlin;Berlin;Neu-Seeland;Arabien;Barbarey
England;England;Neu-Caledonien;Ascension;Bashees Inseln
Juan Fernandez;Juan Fernandez;Südsee;Asien;Batavia
Ma- dera;Madera;SüdMeer;atlantischen Ocean;Bay of Plenty
Juan Fernandez;Juan Fernandez;Afrika;atlantischen Oceans;Berings-Eyland
Madera;Madera;atlantischen Oceans;Attahuru;Berlin
ParnaÅ¿Å¿us;Parnassus;Neu-Holland;Auhäiau;Indien
England;England;indianischen Ocean;Barbarey;Bonavista
England;England;Süd-Meer;Basheeâ€’Inseln;Borabora
England;England;Süd-Amerika;Batavia;Boscawen und Keppels-Eylande
England;England;pacifischen Oceans;Bay of Plenty;Boseawen
England;England;stillen Meers;Berings-Eyland;Bourbon
Plymouth;Plymouth;stille Meer;Berlin;Brasilien
Tahiti;Tahiti;grosse Süd-Meer;beyder Indien;Brest
Tahiti;Tahiti;südliche Eismeer;blauen Berge;Bretane
freundÅ¿chaftlichen InÅ¿eln;freundschaftlichen Inseln;Panama;blauen Bergen;Bristol
Neuen-Hebriden;Neuen-Hebriden;Sevilla;Bolabola;Britannien
Neu-Seeland;Neu-Seeland;Spanien;Bonavista;Cadiz
Neu-Caledonien;Neu-Caledonien;Ladrones;Borabora;Calao
SuÍ¤dÅ¿ee;Südsee;Diebs-Inseln;Boscawenund Keppels-Eylande;Calhetta
London;London;Philippinischen Inseln;Boseawen;Californien
SuÍ¤d- Meer;SüdMeer;South Pacifik Ocean;Bourbon;Callao
Afrika;Afrika;Mexico;Brasilien;Camara de Lobos
Amerika;Amerika;Molukkischen Inseln;Brest;Canaria
atlantiÅ¿chen Oce- ans;atlantischen Oceans;Neu-Guinea;Bretane;Candia
Afrika;Afrika;Peru;Bristol;Cannibal-Cove
Neu-Holland;Neu-Holland;Salomons Inseln;Britannien;Cap
indianiÅ¿chen Ocean;indianischen Ocean;Neu-Britannien;Cadiz;Cap Blake
SuÍ¤d-Meer;Süd-Meer;Neu-;Cal-;Cap de la Circoncision
Neu-Holland;Neu-Holland;Irrland;Calao;Cap der guten Hoffnung
SuÍ¤d-Amerika;Süd-Amerika;Marquesas;Calhetta;Cap Farewell
pacifiÅ¿chen Oceans;pacifischen Oceans;Santa Cruz;Californien;Cap Finisterre
Å¿tillen Meers;stillen Meers;Egmont;Callao;Cap Foul-Wind
Å¿tille Meer;stille Meer;Ladronischen Inseln;Camara de Lobos;Cap Horn
groÃŸe SuÍ¤d-Meer;grosse Süd-Meer;Hawkins's Maiden-Land;Canaria;Cap Kidnappers
Å¿uÍ¤dliche Eismeer;südliche Eismeer;Manilla;Candia;Cap Koamaru
SuÍ¤d- Meer;SüdMeer;la Encarnacion;Canibal-Cove;Cap Palliser
Panama;Panama;Pitcairns Eyland;Cannibal-Cove;Cap Stephens
Sevilla;Sevilla;Quiros;Cap;Cap Tera-Witti
Spanien;Spanien;Sagittaria;Cap Blake;Cap West
SuÍ¤d-Meer;Süd-Meer;Otahiti;Cap Circoncision;Caps
Ladrones;Ladrones;Tierra del Espiritu Santo;Cap de la Circoncision;Cap-Verdischen Inseln
Diebs-InÅ¿eln;Diebs-Inseln;Californien;Cap der guten Hoffnung;Carlsberg
Philippini- Å¿chen InÅ¿eln;Philippinischen Inseln;Neu-Albion;Cap der guten Hofnung;Cascade Cove
South Pacifik Ocean;South Pacifik Ocean;Endeavours-Strasse;Cap Farewell;Cascade-Bucht
London;London;Holland;Cap Finisterre;Castilien
Mexico;Mexico;Cap Horn;Cap Foul-Wind;Chain-Island
MolukkiÅ¿chen InÅ¿eln;Molukkischen Inseln;stillen Ocean;Cap Horn;Charlotten-Sund
Å¿tille Meer;stille Meer;Neu-Irrland;Cap Kidnappers;China
Neu-Guinea;Neu-Guinea;Terra del Fuego;Cap Koamaru;chinesischen See
Peru;Peru;Batavia;Cap Koa-Maruh;Cocos und Verräther-Insel
Salomons InÅ¿eln;Salomons Inseln;Mauritius;Cap Palliser;Cocos-Hofnungs und Horn-Eyland
Neu-Britannien;Neu-Britannien;Van Diemens Land;Cap Stephens;Cocos-Verräther und Horne-Inseln
Neu-;Neu-;N. Seeland;Cap Tera Witti;Coimbra
Irrland;Irrland;stillen Meere;Cap Terawitti;Constantia
Amerika;Amerika;atlantischen Ocean;Cap Tera-Witti;Cooks-Strasse
Å¿tille Meer;stille Meer;NeuGuinea;Cap West;Cornwall
MarqueÅ¿as;Marquesas;Salomons-Inseln;Caps;Corunna
Santa Cruz;Santa Cruz;Oster-Eiland;Cap-Verdischen Inseln;Danzig
Eg- mont;Egmont;Greenwich;Carlsberg;Derbyshire
Peru;Peru;Europa;Cascade Cove;Deserteurs
LadroniÅ¿chen InÅ¿eln;Ladronischen Inseln;Isle de St. Pierre;Cascade-Bucht;Deutschland
Hawkinsâ€™s Maiden-Land;Hawkins's Maiden-Land;Süd-Georgien;Cascaden-Bucht;Diebs-Inseln
