Column 1,breitengrad,längengrad
Place Name unique manually,,
Ethiopian Empire,12.6,37.46666666666667
Adihalli,13.29444444,76.33888889
Admiralitäts-Bay,,
Adventure-Bay,,
Adventure-Eyland,,
Aetepieha,,
Africa,21.09375,7.1881
Aetepieha,,
Alps,46.57805555555556,8.615
Americas,19,-96
Amsterdam,52.36666666666667,4.883333333333333
Nomuka,-20.25,-174.8
,-20.245555555556,-174.80083333333
Anker Island,-7.6869444444444,158.50722222222
A-Poto Poto,,
Arabia,,
Ascension Island,-7.95,-14.35
Asia,43.681111111111115,87.33111111111111
Atlantic Ocean,0,-30
Attahuru,,
Auhäiau,,
Barbarey,,
Bashees Inseln,,
Batavia,,
Bay of Plenty,-37.26666667,176.8
Berings-Eyland,,
Berlin,52.516666666667,13.383333333333
India,22.8,83
Bonavista,48.659722222222,-53.120833333333
Bora Bora,-16.498,-151.736
Boscawen und Keppels-Eylande,,
Boseawen,,
Bourbon,,
Brazil,-14,-53
Brest,48.39,-4.4869444444444
Brittany,48,-3
Bristol,51.45361111111111,-2.5975
Great Britain,53.833333333333,-2.4166666666667
Cádiz,36.535,-6.2975
Calao,4.4,21.333333333333
Calhetta,,
California,37,-120
Calao,,
Câmara de Lobos,32.65,-16.966666666667
Gran Canaria,27.958611111111,-15.5925
Candia,,
Cannibal Cove,-41.06826,174.25019
Cap,,
Cap Blake,,
Cap de la Circoncision,,
Cape of Good Hope,-34.358055555556,18.471944444444
Cap Farewell,,
Cape Finisterre,42.8825,-9.2722222222222
Cap Foul-Wind,,
Cape Horn,-55.98,-67.289166666667
Cape Kidnappers / Te Kauwae-a-Māui,-39.643111111111,177.09555555556
Cap Koamaru,,
Cape Palliser / Mātakitaki-a-Kupe,-41.613611111111,175.29027777778
Cap Stephens,,
Cap Tera-Witti,,
West Cape,-35.24472222,136.82222222
Caps,,
Cap-Verdischen Inseln,,
Carlsberg,49.503888888889,8.0416666666667
Cascade Cove,-45.802,166.594
Cascade Bay,-16.53333,123.33333
Castile,42.35,-3.81666667
Chain Island,45.36681,-80.31641
Charlotten-Sund,,
People's Republic of China,35.844722222222224,103.45194444444445
China Seas,,
Cocos und Verräther-Insel,,
Cocos-Hofnungs und Horn-Eyland,,
Cocos-Verräther und Horne-Inseln,,
Coimbra,40.21111111111111,-8.428888888888888
Constantia,-34.031388888889,18.418333333333
Cook Strait,-41.229444444444,174.48305555556
Cornwall,50.3,-4.9
A Coruña Province,43.37,-8.4
Gdańsk,54.3482907,18.6540233
Derbyshire,53.18,-1.6099999999999999
Desertas Islands,32.546111111111,-16.525277777778
Germany,51,10
Diebs-Inseln,,
Doubtful Eyland,,
Doubtfull-Bay,,
Doubtles-Bay,,
Drake's Island,50.355555555556,-4.1536111111111
Duck Cove,44.583333333333,-68.743611111111
Dusky-Bay,,
EaheinoMauwe,,
East-Bay,,
Easter Island,-27.12,-109.35
Ea-Uwhe,,
Eddistone,,
Egmont,,
Eimeo,-21.05166667,149.17333333
Encarnación,-27.333333333333,-55.866666666667
Endeavour Strait,-10.78416667,142.28888889
Duck Bay,-39.73,143.84
England,53,-1
Europe,48.690959,9.14062
Eyland,,
Falkland Islands,-51.73,-59.22
False Bay,-62.7167,-60.3667
False Bay,-62.7167,-60.3667
Faroe Islands,61.969944444444,-6.8444805555556
Faial Island,38.576944444444,-28.702777777778
Ferrol,43.5233,-8.12278
Feuer-Bay,,
Cape Finisterre,42.8825,-9.2722222222222
Five-Finger-Land,,
France,47,2
Friendly Island,-33.515277777778,151.11777777778
Friedrich Henrichs-Bay,,
Friendly Island,-33.515277777778,151.11777777778
Funchal,32.65,-16.916666666667
fire,,
Furneaux-Eyland,,
Georg des dritten Insel,,
Happy Island,44.346944444444,-83.936666666667
Gothenburg,57.7075,11.9675
Göttingen,51.533888888889,9.9355555555556
Gras-Cove,,
Greenwich,51.48,0
Greenland,72,-40
gros Ventre-Bay,,
Southern Ocean,-65,90
Tahiti,-17.666666666667,-149.46666666667
grünen Vorgebürges,,
Guinea,10,-11
Hamaneno,,
Hawkes Bay,50.61677,-57.21491
Hawkins's Maiden-Land,,
Herurua,,
Hervey-Eyland,,
Hetta,68.3857401,23.6189254
Hiddia,,
Jerusalem,31.77888888888889,35.22555555555556
Hippah-Felsen,,
Netherlands,52.316666666667,5.55
Holz-Bay,,
Horn-Eyland,,
Hottentots-Holland,-34.0349,18.9851
Hout Bay,-34.033333333333,18.35
Huaheine,,
Hudsons Bay,45.6234,-79.86215
Ilha dos Codornizes,,
Desertas Islands,32.546111111111,-16.525277777778
Indian Cove,41.256666666667,-72.679722222222
Indian Island,43.74805555555555,-81.71888888888888
indianischen Ocean,,
India,22.8,83
Indian Cove,41.256666666667,-72.679722222222
Indien und Shag-Cove,,
Bay Island,32.350277777778,-64.726111111111
Inseln des Glücks,,
Irrland,51.55555556,6.20472222
Isle de France,-20.2,57.5
Saint Pierre Island,46.783333333333,-56.2
Isle ronde,,
Fortunate Isles,,
Japan,35,136
Juan Fernández,-33.616666666667,-78.866666666667
Kamchatka Peninsula,57,160
Kingdom of the Canary Islands,,
Kenwyn,50.2667,-5.06667
Keppels-Eyland,,
Kerguelens Inseln,,
Ketten-Insel,,
Kew,-37.805277777778,145.03583333333
Tahiti,-17.666666666667,-149.46666666667
