Column 1,Latitude,Longitude
Vienna,48.208333333333336,16.3725
Brazil,-14.0,-53.0
Chile,-33.0,-71.0
Tahiti,-17.666666666667,-149.46666666667
China,35.0,105.0
East India,23.25,86.0
Iran,32.0,53.0
Asia Minor,39.0,34.0
Icelandic,,
Scandinavia,64.779642,14.760936
United States,39.828175,-98.5795
Hamburg,53.55,10.0
Kurhaven,,
Rio de Janeiro,-22.91111111111111,-43.205555555555556
Prague,50.0875,14.421388888888888
Dresden,51.05,13.74
Leipzig,51.3406321,12.3747329
Blankenese,53.55843,9.81123
Elbe,53.922222222222224,8.722222222222221
,50.775549,15.536436
,50.8875,14.233055555555556
Glückstadt,53.791666666667,9.4219444444444
Europe,48.690959,9.14062
Leuchtthurm,,
Ritzebüttel,53.856172,8.701429
North Sea,56.459,3.6825
Heligoland,54.1825,7.8852777777778
England,53.0,-1.0
Europe,48.690959,9.14062
England,53.0,-1.0
North Foreland,51.3749,1.4451
Castell Sandowe,,
Deal,51.2226,1.4006
South-Foreland,,
Dover,51.1275,1.3122222222222
Dover,51.1275,1.3122222222222
France,47.0,2.0
Cap Gris Nez,50.870833,1.583611
Boulogne,,
Cornwallis,,
Gibraltar,36.14,-5.35
Mediterranean Sea,38.0,17.0
Morocco,32.0,-6.0
Porto Santo,33.061944444444,-16.356388888889
Falcon,,
Madeira Island,32.75,-16.98
Desertas Islands,32.546111111111,-16.525277777778
Africa,21.09375,7.1881
Guinea,10.0,-11.0
Cape Fria,-18.45,12.01666
,-18.45,12.01667
Meergebirge,,
Serados-Orgãs,,
Praya-grande,,
Corcovado,-22.9525,-43.211666666667
Telegraphen-Berg,,
Candelaria,,
Passeo publico,,
Praya Flamingo,,
Botafogo,-22.953333333333333,-43.19
Zollhause,,
Praia dos Mineiros,,
Hauptstraße,,
Rua direita,,
Largo do Paco,,
Rua Misericorda,,
Ouvidor,-18.233888888889,-47.838888888889
Largo St,,
Istanbul,41.01,28.960277777778
Naples,40.83583333333333,14.248611111111112
Messina,38.19361111111111,15.554166666666667
Rome,41.893055555556,12.482777777778
Carrara-Marmor,,
Pallaste,,
Schloßplatze,,
Rua Barbone,,
Poland,52.0,19.0
Egypt,27.0,29.0
Brazil,-14.0,-53.0
Portugal,38.7,-9.1833333333333
Spain,40.2,-3.5
Italy,42.5,12.5
United States,39.828175,-98.5795
